Hemisphere,surf_type,mean_Chamfer Distance,mean_Dice,mean_Hausdorff Distance,mean_Macro Dice,mean_Self-Intersections (SIF),std_Chamfer Distance,std_Dice,std_Hausdorff Distance,std_Macro Dice,std_Self-Intersections (SIF)
lh,pial,1.0206028122423885,0.8544752539253484,6.466088788916911,0.8544752539253483,0.6161616161616161,0.028396511122310227,0.056730079051692625,1.110091364772949,0.013069241422434947,5.6346360922406555
lh,white,0.8343970806267453,,5.382208045136972,,0.5151515151515151,0.025579566843386536,,0.968170569082749,,5.125692857821982
rh,pial,1.0165295668122019,0.8494120184478882,7.100964274362563,0.849412018447888,0.35353535353535354,0.027124337461124626,0.061009113738797215,1.0449971998950167,0.021793545456985936,2.061865270609488
rh,white,0.8319870088241789,,5.405739972654896,,0.0,0.02448997198650265,,1.2720310923947655,,0.0
