Framework,Condition,Subject ID,surf_type,Hemisphere,GNNLayers,Epoch,Metric,Label,Score,Total Triangles
freesurfercsrp,d,202719,gm,rh,8,360,Macro Dice,,0.9262848887659321,
freesurfercsrp,d,204622,wm,lh,8,350,Macro Dice,,0.933817428901566,
freesurfercsrp,d,203721,gm,rh,8,360,Macro Dice,,0.9309890022103653,
freesurfercsrp,d,204016,gm,rh,8,360,Macro Dice,,0.9125311927941638,
freesurfercsrp,d,202113,gm,rh,8,360,Macro Dice,,0.933250868681852,
freesurfercsrp,d,204420,gm,rh,8,360,Macro Dice,,0.9158642696634067,
freesurfercsrp,d,203923,gm,rh,8,360,Macro Dice,,0.9286412367618408,
freesurfercsrp,d,204521,wm,rh,8,401,Macro Dice,,0.9385407401142221,
freesurfercsrp,d,203418,gm,rh,8,360,Macro Dice,,0.9178599780291656,
freesurfercsrp,d,202719,wm,rh,8,401,Macro Dice,,0.9235731271700374,
freesurfercsrp,d,204319,wm,rh,8,401,Macro Dice,,0.9151726029420815,
freesurfercsrp,d,203721,wm,rh,8,401,Macro Dice,,0.9348010292139548,
freesurfercsrp,d,204622,gm,rh,8,360,Macro Dice,,0.9195871599938332,
freesurfercsrp,d,204016,wm,rh,8,401,Macro Dice,,0.9130605809229785,
freesurfercsrp,d,204420,wm,rh,8,401,Macro Dice,,0.9227972751702558,
freesurfercsrp,d,202113,wm,rh,8,401,Macro Dice,,0.9362943042625693,
freesurfercsrp,d,203923,wm,rh,8,401,Macro Dice,,0.9347639640215218,
freesurfercsrp,d,203418,wm,rh,8,401,Macro Dice,,0.927350205381307,
freesurfercsrp,d,204622,wm,rh,8,401,Macro Dice,,0.9276109931463354,
freesurfercsrp,d,205725,gm,lh,8,400,Macro Dice,,0.9210480487991607,
freesurfercsrp,d,207628,gm,lh,8,400,Macro Dice,,0.9153158190547815,
freesurfercsrp,d,208024,gm,lh,8,400,Macro Dice,,0.9201323347098689,
freesurfercsrp,d,205220,gm,lh,8,400,Macro Dice,,0.9254031172272947,
freesurfercsrp,d,206222,gm,lh,8,400,Macro Dice,,0.9312308593181648,
freesurfercsrp,d,207426,gm,lh,8,400,Macro Dice,,0.9246210765283308,
freesurfercsrp,d,205119,gm,lh,8,400,Macro Dice,,0.91268769563387,
freesurfercsrp,d,205826,gm,lh,8,400,Macro Dice,,0.9263634599661646,
freesurfercsrp,d,205725,wm,lh,8,350,Macro Dice,,0.9334494532655482,
freesurfercsrp,d,208125,gm,lh,8,400,Macro Dice,,0.9252270331608502,
freesurfercsrp,d,208024,wm,lh,8,350,Macro Dice,,0.9282115949794583,
freesurfercsrp,d,207123,gm,lh,8,400,Macro Dice,,0.910503611901112,
freesurfercsrp,d,205220,wm,lh,8,350,Macro Dice,,0.9333911394486729,
freesurfercsrp,d,207628,wm,lh,8,350,Macro Dice,,0.9134694592608987,
freesurfercsrp,d,206222,wm,lh,8,350,Macro Dice,,0.9351915284756714,
freesurfercsrp,d,207426,wm,lh,8,350,Macro Dice,,0.9295026572566889,
freesurfercsrp,d,205119,wm,lh,8,350,Macro Dice,,0.9208272664987446,
freesurfercsrp,d,205826,wm,lh,8,350,Macro Dice,,0.927275925593456,
freesurfercsrp,d,205725,gm,rh,8,360,Macro Dice,,0.9283715801301111,
freesurfercsrp,d,208024,gm,rh,8,360,Macro Dice,,0.9347723951521798,
freesurfercsrp,d,208125,wm,lh,8,350,Macro Dice,,0.9372452443623952,
freesurfercsrp,d,205220,gm,rh,8,360,Macro Dice,,0.9229348420901254,
freesurfercsrp,d,207123,wm,lh,8,350,Macro Dice,,0.9164050863699665,
freesurfercsrp,d,207628,gm,rh,8,360,Macro Dice,,0.9187217830463806,
freesurfercsrp,d,207426,gm,rh,8,360,Macro Dice,,0.9256398586192575,
freesurfercsrp,d,206222,gm,rh,8,360,Macro Dice,,0.9228961471116557,
freesurfercsrp,d,205725,wm,rh,8,401,Macro Dice,,0.9356394673425759,
freesurfercsrp,d,208024,wm,rh,8,401,Macro Dice,,0.9367315551287086,
freesurfercsrp,d,205826,gm,rh,8,360,Macro Dice,,0.9311613665102598,
freesurfercsrp,d,205119,gm,rh,8,360,Macro Dice,,0.905935679790747,
freesurfercsrp,d,208125,gm,rh,8,360,Macro Dice,,0.9372172451680783,
freesurfercsrp,d,205220,wm,rh,8,401,Macro Dice,,0.9323161745879127,
freesurfercsrp,d,207426,wm,rh,8,401,Macro Dice,,0.9291570447299421,
freesurfercsrp,d,207123,gm,rh,8,360,Macro Dice,,0.9224146981941282,
freesurfercsrp,d,207628,wm,rh,8,401,Macro Dice,,0.9168561508670968,
freesurfercsrp,d,206222,wm,rh,8,401,Macro Dice,,0.9255906249744019,
freesurfercsrp,d,205826,wm,rh,8,401,Macro Dice,,0.9335222219424206,
freesurfercsrp,d,205119,wm,rh,8,401,Macro Dice,,0.8899468336245355,
freesurfercsrp,d,208125,wm,rh,8,401,Macro Dice,,0.9362889177745338,
freesurfercsrp,d,207123,wm,rh,8,401,Macro Dice,,0.9225627859956733,
freesurfercsrp,d,209228,gm,lh,8,400,Macro Dice,,0.9369448688434705,
freesurfercsrp,d,208327,gm,lh,8,400,Macro Dice,,0.9206224337144476,
freesurfercsrp,d,208428,gm,lh,8,400,Macro Dice,,0.9189004308857305,
freesurfercsrp,d,209228,wm,lh,8,350,Macro Dice,,0.9427929448310239,
freesurfercsrp,d,209834,gm,lh,8,400,Macro Dice,,0.925300652801832,
freesurfercsrp,d,208428,wm,lh,8,350,Macro Dice,,0.9305743336323571,
freesurfercsrp,d,208327,wm,lh,8,350,Macro Dice,,0.9228028026286818,
freesurfercsrp,d,210415,gm,lh,8,400,Macro Dice,,0.9159074370439177,
freesurfercsrp,d,209228,gm,rh,8,360,Macro Dice,,0.93667915731346,
freesurfercsrp,d,209834,wm,lh,8,350,Macro Dice,,0.9293084874761448,
freesurfercsrp,d,208428,gm,rh,8,360,Macro Dice,,0.9184397061707877,
freesurfercsrp,d,208226,gm,lh,8,400,Macro Dice,,0.9149612628274101,
freesurfercsrp,d,210415,wm,lh,8,350,Macro Dice,,0.9228177130277907,
freesurfercsrp,d,208327,gm,rh,8,360,Macro Dice,,0.904760724297429,
freesurfercsrp,d,209127,gm,lh,8,400,Macro Dice,,0.9221820893583333,
freesurfercsrp,d,209228,wm,rh,8,401,Macro Dice,,0.9452909401395402,
freesurfercsrp,d,208428,wm,rh,8,401,Macro Dice,,0.9243528365764675,
freesurfercsrp,d,209834,gm,rh,8,360,Macro Dice,,0.9139800046744444,
freesurfercsrp,d,208226,wm,lh,8,350,Macro Dice,,0.9213175735220468,
freesurfercsrp,d,210415,gm,rh,8,360,Macro Dice,,0.9191452733057495,
freesurfercsrp,d,209127,wm,lh,8,350,Macro Dice,,0.9250886271660083,
freesurfercsrp,d,208327,wm,rh,8,401,Macro Dice,,0.9048330906382808,
freesurfercsrp,d,209329,gm,lh,8,400,Macro Dice,,0.9173286438179454,
freesurfercsrp,d,209834,wm,rh,8,401,Macro Dice,,0.92616213259823,
freesurfercsrp,d,208226,gm,rh,8,360,Macro Dice,,0.9319921265476769,
freesurfercsrp,d,209127,gm,rh,8,360,Macro Dice,,0.9247383343159575,
freesurfercsrp,d,210415,wm,rh,8,401,Macro Dice,,0.9168887074738125,
freesurfercsrp,d,209329,wm,lh,8,350,Macro Dice,,0.9218954891080259,
freesurfercsrp,d,209935,gm,lh,8,400,Macro Dice,,0.9075422480831438,
freesurfercsrp,d,208226,wm,rh,8,401,Macro Dice,,0.9342790118327304,
freesurfercsrp,d,209127,wm,rh,8,401,Macro Dice,,0.9336268131667286,
freesurfercsrp,d,209329,gm,rh,8,360,Macro Dice,,0.9358473257456535,
freesurfercsrp,d,209935,wm,lh,8,350,Macro Dice,,0.9111014242101224,
freesurfercsrp,d,210011,gm,lh,8,400,Macro Dice,,0.9236044579556745,
freesurfercsrp,d,209935,gm,rh,8,360,Macro Dice,,0.9166597284266246,
freesurfercsrp,d,209329,wm,rh,8,401,Macro Dice,,0.9444979101781915,
freesurfercsrp,d,210011,wm,lh,8,350,Macro Dice,,0.9252864811524777,
freesurfercsrp,d,209935,wm,rh,8,401,Macro Dice,,0.9204236968341131,
freesurfercsrp,d,210011,gm,rh,8,360,Macro Dice,,0.9357547333961013,
freesurfercsrp,d,210011,wm,rh,8,401,Macro Dice,,0.9374287690558187,
freesurfercsrp,d,211316,gm,lh,8,400,Macro Dice,,0.9185090499194126,
freesurfercsrp,d,211922,gm,lh,8,400,Macro Dice,,0.9431190257871995,
freesurfercsrp,d,211720,gm,lh,8,400,Macro Dice,,0.9018817494449142,
freesurfercsrp,d,211417,gm,lh,8,400,Macro Dice,,0.9235120850366881,
freesurfercsrp,d,211114,gm,lh,8,400,Macro Dice,,0.934208715007267,
freesurfercsrp,d,211316,wm,lh,8,350,Macro Dice,,0.9171814069129086,
freesurfercsrp,d,210617,gm,lh,8,400,Macro Dice,,0.9075796785412512,
freesurfercsrp,d,211215,gm,lh,8,400,Macro Dice,,0.9398901123663992,
freesurfercsrp,d,211922,wm,lh,8,350,Macro Dice,,0.9414696910306453,
freesurfercsrp,d,211114,wm,lh,8,350,Macro Dice,,0.9394245634381686,
