Framework,Subject ID,surf_type,Hemisphere,Metric,Label,Score,Total Triangles
cortexode,208226,pial,lh,Hausdorff Distance,,7.003615528318825,
cortexode,208226,pial,lh,Self-Intersections (SIF),,595,218760
cortexode,228434,pial,lh,Chamfer Distance,,0.8668947376136489,
cortexode,228434,pial,lh,Hausdorff Distance,,4.955100352227372,
cortexode,228434,pial,lh,Self-Intersections (SIF),,701,211989
cortexode,250932,pial,lh,Chamfer Distance,,0.8571207097272071,
cortexode,250932,pial,lh,Hausdorff Distance,,5.176439066921477,
cortexode,250932,pial,lh,Self-Intersections (SIF),,2009,211065
cortexode,275645,pial,lh,Chamfer Distance,,0.8998376184610157,
cortexode,275645,pial,lh,Hausdorff Distance,,4.869297001338737,
cortexode,275645,pial,lh,Self-Intersections (SIF),,2288,215849
cortexode,237334,pial,lh,Chamfer Distance,,0.8546305981110812,
cortexode,237334,pial,lh,Hausdorff Distance,,5.40210347745035,
cortexode,237334,pial,lh,Self-Intersections (SIF),,679,215648
cortexode,212217,pial,lh,Chamfer Distance,,0.8701739446514623,
cortexode,212217,pial,lh,Hausdorff Distance,,3.881080195273084,
cortexode,212217,pial,lh,Self-Intersections (SIF),,2907,213062
cortexode,203418,pial,lh,Chamfer Distance,,0.8466979250071229,
cortexode,203418,pial,lh,Hausdorff Distance,,4.25445307738251,
cortexode,203418,pial,lh,Self-Intersections (SIF),,1312,222973
cortexode,214221,pial,lh,Chamfer Distance,,0.8888554541853604,
cortexode,214221,pial,lh,Hausdorff Distance,,4.615585175599526,
cortexode,214221,pial,lh,Self-Intersections (SIF),,553,215237
cortexode,217429,pial,lh,Chamfer Distance,,0.9066525729671892,
cortexode,217429,pial,lh,Hausdorff Distance,,5.546575052390396,
cortexode,217429,pial,lh,Self-Intersections (SIF),,2998,216100
cortexode,231928,pial,lh,Chamfer Distance,,0.8423532513684853,
cortexode,231928,pial,lh,Hausdorff Distance,,4.4594185713502625,
cortexode,231928,pial,lh,Self-Intersections (SIF),,968,216101
cortexode,200614,pial,lh,Chamfer Distance,,0.8975528826955855,
cortexode,200614,pial,lh,Hausdorff Distance,,5.5959853634032255,
cortexode,200614,pial,lh,Self-Intersections (SIF),,2192,229197
cortexode,212116,pial,lh,Chamfer Distance,,0.8811995435188265,
cortexode,212116,pial,lh,Hausdorff Distance,,4.961150962440244,
cortexode,212116,pial,lh,Self-Intersections (SIF),,974,224716
cortexode,211417,pial,lh,Chamfer Distance,,0.8693898024428681,
cortexode,211417,pial,lh,Hausdorff Distance,,5.438734692259724,
cortexode,211417,pial,lh,Self-Intersections (SIF),,1391,225868
cortexode,200311,pial,lh,Chamfer Distance,,0.9409414535106266,
cortexode,200311,pial,lh,Hausdorff Distance,,5.97445241482419,
cortexode,200311,pial,lh,Self-Intersections (SIF),,1048,231451
cortexode,249947,pial,lh,Chamfer Distance,,0.8675754667060058,
cortexode,249947,pial,lh,Hausdorff Distance,,3.6219326070461233,
cortexode,249947,pial,lh,Self-Intersections (SIF),,3086,220293
cortexode,217126,pial,lh,Chamfer Distance,,0.8796552951555578,
cortexode,217126,pial,lh,Hausdorff Distance,,6.882100130330414,
cortexode,217126,pial,lh,Self-Intersections (SIF),,1224,224676
cortexode,200917,pial,lh,Chamfer Distance,,0.8942917966814616,
cortexode,200917,pial,lh,Hausdorff Distance,,9.217162673867998,
cortexode,200917,pial,lh,Self-Intersections (SIF),,1498,233686
cortexode,211922,pial,lh,Chamfer Distance,,0.8485393794709505,
cortexode,211922,pial,lh,Hausdorff Distance,,4.139080708416714,
cortexode,211922,pial,lh,Self-Intersections (SIF),,1478,225863
cortexode,212419,pial,lh,Chamfer Distance,,0.8404298818798781,
cortexode,212419,pial,lh,Hausdorff Distance,,4.28461153813478,
cortexode,212419,pial,lh,Self-Intersections (SIF),,2931,229053
cortexode,207426,pial,lh,Chamfer Distance,,0.86810295706964,
cortexode,207426,pial,lh,Hausdorff Distance,,5.1252167254935515,
cortexode,207426,pial,lh,Self-Intersections (SIF),,879,226187
cortexode,227432,pial,lh,Chamfer Distance,,0.9237629318741425,
cortexode,227432,pial,lh,Hausdorff Distance,,5.022176901079467,
cortexode,227432,pial,lh,Self-Intersections (SIF),,800,232088
cortexode,209228,pial,lh,Chamfer Distance,,0.8726504998529782,
cortexode,209228,pial,lh,Hausdorff Distance,,4.352400980750198,
cortexode,209228,pial,lh,Self-Intersections (SIF),,1927,237614
cortexode,200109,pial,lh,Chamfer Distance,,0.9130453710627533,
cortexode,200109,pial,lh,Hausdorff Distance,,5.405300615891436,
cortexode,200109,pial,lh,Self-Intersections (SIF),,3565,237342
cortexode,201111,pial,lh,Chamfer Distance,,0.8642994730345548,
cortexode,201111,pial,lh,Hausdorff Distance,,5.730262538715391,
cortexode,201111,pial,lh,Self-Intersections (SIF),,711,240182
cortexode,268850,pial,lh,Chamfer Distance,,0.8890918897799017,
cortexode,268850,pial,lh,Hausdorff Distance,,6.814831587566625,
cortexode,268850,pial,lh,Self-Intersections (SIF),,1647,232578
cortexode,202719,pial,lh,Chamfer Distance,,0.8531760449597305,
cortexode,202719,pial,lh,Hausdorff Distance,,3.9615535201694767,
cortexode,202719,pial,lh,Self-Intersections (SIF),,652,242246
cortexode,284646,pial,lh,Chamfer Distance,,0.8860588094250454,
cortexode,284646,pial,lh,Hausdorff Distance,,4.772061077049738,
cortexode,284646,pial,lh,Self-Intersections (SIF),,1262,231473
cortexode,204622,pial,lh,Chamfer Distance,,0.8717873616808467,
cortexode,204622,pial,lh,Hausdorff Distance,,7.5944244188917125,
cortexode,204622,pial,lh,Self-Intersections (SIF),,765,243701
cortexode,204016,pial,lh,Chamfer Distance,,0.8574036776895397,
cortexode,204016,pial,lh,Hausdorff Distance,,5.211253535668013,
cortexode,204016,pial,lh,Self-Intersections (SIF),,606,241856
cortexode,248339,pial,lh,Chamfer Distance,,0.9012063408056463,
cortexode,248339,pial,lh,Hausdorff Distance,,6.830278057541458,
cortexode,248339,pial,lh,Self-Intersections (SIF),,795,238041
cortexode,211114,pial,lh,Chamfer Distance,,0.903023795435907,
cortexode,211114,pial,lh,Hausdorff Distance,,5.210335259785401,
cortexode,211114,pial,lh,Self-Intersections (SIF),,3704,238514
cortexode,208125,pial,lh,Chamfer Distance,,0.8443638722706648,
cortexode,208125,pial,lh,Hausdorff Distance,,5.577129829572903,
cortexode,208125,pial,lh,Self-Intersections (SIF),,668,236163
cortexode,202113,pial,lh,Chamfer Distance,,1.0191232714355156,
cortexode,202113,pial,lh,Hausdorff Distance,,4.630443843155335,
cortexode,202113,pial,lh,Self-Intersections (SIF),,2903,247109
cortexode,280941,pial,lh,Chamfer Distance,,0.8575693014030695,
cortexode,280941,pial,lh,Hausdorff Distance,,6.860466487912376,
cortexode,280941,pial,lh,Self-Intersections (SIF),,1066,234062
cortexode,214625,pial,lh,Chamfer Distance,,0.8549625234748646,
cortexode,214625,pial,lh,Hausdorff Distance,,5.135373521736109,
cortexode,214625,pial,lh,Self-Intersections (SIF),,1344,237764
cortexode,210617,pial,lh,Chamfer Distance,,0.9204579056489627,
cortexode,210617,pial,lh,Hausdorff Distance,,7.277840182489841,
cortexode,210617,pial,lh,Self-Intersections (SIF),,2875,246260
cortexode,257542,pial,lh,Chamfer Distance,,0.8962149283406082,
cortexode,257542,pial,lh,Hausdorff Distance,,6.634843478396622,
cortexode,257542,pial,lh,Self-Intersections (SIF),,4396,239030
cortexode,239944,pial,lh,Chamfer Distance,,0.8538094916844886,
cortexode,239944,pial,lh,Hausdorff Distance,,5.668046426321176,
cortexode,239944,pial,lh,Self-Intersections (SIF),,2223,238197
cortexode,263436,pial,lh,Chamfer Distance,,0.849022804770689,
cortexode,263436,pial,lh,Hausdorff Distance,,4.899559919772562,
cortexode,263436,pial,lh,Self-Intersections (SIF),,1483,241316
cortexode,206222,pial,lh,Chamfer Distance,,0.9113280573958948,
cortexode,206222,pial,lh,Hausdorff Distance,,4.998776581681191,
cortexode,206222,pial,lh,Self-Intersections (SIF),,2489,250379
cortexode,214524,pial,lh,Chamfer Distance,,0.8634024655519046,
cortexode,214524,pial,lh,Hausdorff Distance,,5.788345677197528,
cortexode,214524,pial,lh,Self-Intersections (SIF),,836,244734
cortexode,257845,pial,lh,Chamfer Distance,,0.8751167080223252,
cortexode,257845,pial,lh,Hausdorff Distance,,6.541627743950537,
cortexode,257845,pial,lh,Self-Intersections (SIF),,915,245415
cortexode,220721,pial,lh,Chamfer Distance,,0.8557765702338864,
cortexode,220721,pial,lh,Hausdorff Distance,,4.305022292093925,
cortexode,220721,pial,lh,Self-Intersections (SIF),,722,245921
cortexode,205119,pial,lh,Chamfer Distance,,0.8875637728186667,
cortexode,205119,pial,lh,Hausdorff Distance,,4.764442831482635,
cortexode,205119,pial,lh,Self-Intersections (SIF),,144,252062
cortexode,214726,pial,lh,Chamfer Distance,,0.8951318114865994,
