surf_type,surf_hemi,gat_layers,mode,random_number,log_filename,max_epochs_achieved,expected_max_epoch,highest_model_epoch,highest_model_filename
wm,lh,8,_recon_noclass,705278,model_wm_hcp_lh_vc_v4_csrvc_layers8_sf0.1_euler_recon_noclass_de0.1_705278_heads1.log,253,400,250,model_wm_hcp_lh_vc_v4_csrvc_layers8_sf0.1_heads1_250epochs_euler_recon_noclass_de0.1_705278.pt
wm,rh,8,_recon_noclass,415692,model_wm_hcp_rh_vc_v4_csrvc_layers8_sf0.1_euler_recon_noclass_de0.1_415692_heads1.log,106,400,100,model_wm_hcp_rh_vc_v4_csrvc_layers8_sf0.1_heads1_100epochs_euler_recon_noclass_de0.1_415692.pt
gm,lh,8,_recon_noclass,302724,model_gm_hcp_lh_vc_v4_csrvc_layers8_sf0.1_euler_recon_noclass_de0.1_302724_heads1.log,109,400,100,model_gm_hcp_lh_vc_v4_csrvc_layers8_sf0.1_heads1_100epochs_euler_recon_noclass_de0.1_302724.pt
gm,rh,8,_recon_noclass,776971,model_gm_hcp_rh_vc_v4_csrvc_layers8_sf0.1_euler_recon_noclass_de0.1_776971_heads1.log,269,400,260,model_gm_hcp_rh_vc_v4_csrvc_layers8_sf0.1_heads1_260epochs_euler_recon_noclass_de0.1_776971.pt
