Framework,surf_type,GNNLayers,Metric,mean,std,Case,MaxClassificationEpochs
csrp,pial,4.0,Dice,0.5248474621527631,0.2636074167533662,separate,100
csrp,pial,8.0,Dice,0.60891903829879,0.2598002467847213,separate,100
csrp,white,4.0,Dice,0.5758450735434171,0.26339500448075603,separate,100
csrp,white,8.0,Dice,0.63793824633944,0.2884416658369516,separate,100
csrp,pial,4.0,Dice,0.6472874824156424,0.2727690252024299,separate,400
csrp,pial,8.0,Dice,0.6440498511670917,0.26258655609613996,separate,400
csrp,white,4.0,Dice,0.6777403923830396,0.2773158178259837,separate,400
csrp,white,8.0,Dice,0.6905215390809776,0.27361878711641363,separate,400
csrp,pial,4.0,Dice,0.6225001791846597,0.25998282845787635,unified,100
csrp,pial,8.0,Dice,0.6518682203058962,0.2583141596266471,unified,100
csrp,white,4.0,Dice,0.6859733402468512,0.27036510259765517,unified,100
csrp,white,8.0,Dice,0.7218751471342728,0.27468529915318846,unified,100
FastSurfer,pial,0.0,Dice,0.8556094043618204,0.06139009199612606,fastsurfer_dice.csv,,
FastSurfer,white,0.0,Dice,0.9196319317947294,0.047716669131634255,fastsurfer_dice.csv,,
