hemisphere,surf_type,model_type,solver,gnn_layers,epochs,validation_error
rh,gm,v2,euler,2,110,0.035623752065193595
rh,wm,v2,euler,3,80,0.036863050903273936
lh,wm,v2,euler,4,70,0.036332401954307994
rh,wm,v2,euler,4,70,0.037460858007322934
lh,gm,v2,euler,4,80,0.03769317117985338
lh,wm,v2,euler,2,100,0.036046020388061276
rh,wm,v2,euler,2,100,0.036131589318944765
rh,gm,v2,euler,4,80,0.03576011364077266
lh,gm,v2,euler,2,120,0.03972135590598116
rh,gm,v2,euler,2,120,0.03569371356520448
lh,gm,v2,euler,3,100,0.04518213602844706
rh,gm,v2,euler,3,100,0.03449807815647138
lh,wm,v2,euler,3,90,0.036218276677416346
rh,wm,v2,euler,3,90,0.03664688270434673
lh,wm,v2,euler,2,110,0.035538989260234743
rh,wm,v2,euler,2,110,0.036598023269044495
lh,wm,v2,euler,4,80,0.037279264531740595
rh,wm,v2,euler,4,80,0.0368150684717593
lh,gm,v2,euler,4,90,0.03725211793388208
lh,gm,v2,euler,2,130,0.038406223493752646
rh,gm,v2,euler,4,90,0.036374006695354934
rh,gm,v2,euler,2,130,0.034740467432631456
lh,gm,v2,euler,3,110,0.04612592470195899
rh,gm,v2,euler,3,110,0.0341641024815858
lh,wm,v2,euler,3,100,0.03575262015711532
rh,wm,v2,euler,3,100,0.03642127288411098
lh,wm,v2,euler,2,120,0.03586025396261589
rh,wm,v2,euler,2,120,0.03593472389058724
lh,gm,v2,euler,2,140,0.04039602622626638
rh,gm,v2,euler,2,140,0.03444016589316467
lh,wm,v2,euler,4,90,0.035997226122758706
lh,gm,v2,euler,4,100,0.03654854515781185
rh,wm,v2,euler,4,90,0.03691233052512839
rh,gm,v2,euler,4,100,0.03507018755044555
lh,gm,v2,euler,3,120,0.043431651584828146
rh,gm,v2,euler,3,120,0.03411630351710583
lh,wm,v2,euler,2,130,0.035332042208555604
lh,gm,v2,euler,2,150,0.05135371781040609
rh,wm,v2,euler,2,130,0.03597530946441613
rh,gm,v2,euler,2,150,0.0338438724705564
lh,wm,v2,euler,3,110,0.03586894572122376
rh,wm,v2,euler,3,110,0.03649696843459769
lh,gm,v2,euler,4,110,0.038007233970033825
lh,gm,v2,euler,3,130,0.058092715523249856
