Condition,Metric,surf_type,mean,std
a,Macro Dice,gm,0.8715710150434147,0.018124274396238545
a,Macro Dice,wm,0.914208838107878,0.017475725553704715
b,Macro Dice,gm,0.8630218373268674,0.020615334605654487
b,Macro Dice,wm,0.914291636757618,0.017042846104776407
d,Macro Dice,gm,0.9192653573329105,0.016783310173596345
d,Macro Dice,wm,0.9236383677718653,0.016526994774914695
fastsurfer,Macro Dice,gm,0.8728676049797234,0.015389179201958309
fastsurfer,Macro Dice,wm,0.9276742465662503,0.013994270322933395
