Framework,Subject ID,surf_type,Hemisphere,Metric,Label,Score,Total Triangles
csrf,249947,pial,lh,Hausdorff Distance,,3.685711728588941,
csrf,245333,pial,lh,Hausdorff Distance,,3.5067351368922224,
csrf,280941,pial,lh,Hausdorff Distance,,7.482598458762889,
csrf,285345,pial,lh,Self-Intersections (SIF),,-1,213650
csrf,214221,pial,lh,Hausdorff Distance,,4.615251640482954,
csrf,217429,pial,lh,Hausdorff Distance,,5.49790267987434,
csrf,212116,pial,lh,Chamfer Distance,,0.87564532763082,
csrf,263436,pial,lh,Chamfer Distance,,0.859490979683299,
csrf,203418,pial,lh,Chamfer Distance,,0.854155944208932,
csrf,249947,pial,lh,Self-Intersections (SIF),,-1,220336
csrf,204016,pial,lh,Chamfer Distance,,0.8608645209041779,
csrf,217126,pial,lh,Chamfer Distance,,0.881985418639965,
csrf,214221,pial,lh,Self-Intersections (SIF),,-1,215334
csrf,209127,pial,lh,Chamfer Distance,,0.8747212159192832,
csrf,231928,pial,lh,Chamfer Distance,,0.8480404920296936,
csrf,203418,pial,lh,Hausdorff Distance,,4.157180520600888,
csrf,211922,pial,lh,Chamfer Distance,,0.8558939984789573,
csrf,207426,pial,lh,Chamfer Distance,,0.8725596130619153,
csrf,212419,pial,lh,Chamfer Distance,,0.8406005160959965,
csrf,205220,pial,lh,Self-Intersections (SIF),,-1,213009
csrf,250427,pial,lh,Self-Intersections (SIF),,-1,212813
csrf,209127,pial,lh,Hausdorff Distance,,6.194878001852217,
csrf,217126,pial,lh,Hausdorff Distance,,6.754490324901592,
csrf,250932,pial,lh,Hausdorff Distance,,5.274257538801405,
csrf,203418,pial,lh,Self-Intersections (SIF),,-1,223069
csrf,221218,pial,lh,Hausdorff Distance,,6.6326201504842395,
csrf,256540,pial,lh,Hausdorff Distance,,6.073361484181729,
csrf,207628,pial,lh,Chamfer Distance,,0.9104187140614382,
csrf,203721,pial,lh,Hausdorff Distance,,5.812776849395493,
csrf,217126,pial,lh,Self-Intersections (SIF),,-1,224776
