Framework,Condition,Subject ID,surf_type,Hemisphere,GNNLayers,Epoch,Metric,Label,Score,Total Triangles
csrp,a,204420,gm,lh,8,40,Chamfer Distance,,0.9066132938394793,
csrp,a,204420,gm,lh,8,40,Hausdorff Distance,,4.82554533397825,
csrp,a,204420,gm,lh,8,40,Self-Intersections (SIF),,7951,211768
csrp,a,204420,gm,lh,8,40,Macro Dice,,0.8549553077095862,
csrp,a,204521,gm,lh,8,40,Chamfer Distance,,0.9248781080196924,
csrp,a,204521,gm,lh,8,40,Hausdorff Distance,,6.8665904585067645,
csrp,a,204521,gm,lh,8,40,Self-Intersections (SIF),,10880,216952
csrp,a,204521,gm,lh,8,40,Macro Dice,,0.8800782410402658,
csrp,a,201414,wm,lh,8,100,Chamfer Distance,,0.7847367165533594,
csrp,a,201414,wm,lh,8,100,Hausdorff Distance,,6.407570008255707,
csrp,a,201414,wm,lh,8,100,Self-Intersections (SIF),,0,232676
csrp,a,201414,wm,lh,8,100,Macro Dice,,0.913747411881337,
csrp,a,200008,gm,rh,8,40,Chamfer Distance,,0.8897738400525138,
csrp,a,200008,gm,rh,8,40,Hausdorff Distance,,6.31510816357945,
csrp,a,200008,gm,rh,8,40,Self-Intersections (SIF),,14806,234400
csrp,a,200008,gm,rh,8,40,Macro Dice,,0.8642054680884612,
csrp,a,203721,gm,lh,8,40,Chamfer Distance,,0.9666569768930154,
csrp,a,203721,gm,lh,8,40,Hausdorff Distance,,6.31522429134079,
csrp,a,203721,gm,lh,8,40,Self-Intersections (SIF),,13150,223172
csrp,a,203721,gm,lh,8,40,Macro Dice,,0.849257460962428,
csrp,a,203418,gm,lh,8,40,Chamfer Distance,,0.8889353039974648,
csrp,a,203418,gm,lh,8,40,Hausdorff Distance,,4.305555368335217,
csrp,a,203418,gm,lh,8,40,Self-Intersections (SIF),,8294,241000
csrp,a,203418,gm,lh,8,40,Macro Dice,,0.8537020477951675,
csrp,a,201111,wm,lh,8,100,Chamfer Distance,,0.7545131597024678,
csrp,a,201111,wm,lh,8,100,Hausdorff Distance,,5.312841106459968,
csrp,a,201111,wm,lh,8,100,Self-Intersections (SIF),,92,260396
csrp,a,201111,wm,lh,8,100,Macro Dice,,0.906915434083344,
csrp,a,200109,gm,rh,8,40,Chamfer Distance,,0.9297380384088421,
csrp,a,200109,gm,rh,8,40,Hausdorff Distance,,4.771976400299552,
csrp,a,200109,gm,rh,8,40,Self-Intersections (SIF),,15288,257928
csrp,a,200109,gm,rh,8,40,Macro Dice,,0.8652358102078413,
csrp,a,204016,gm,lh,8,40,Chamfer Distance,,0.8951179067460446,
csrp,a,204016,gm,lh,8,40,Hausdorff Distance,,4.490092805761328,
csrp,a,204016,gm,lh,8,40,Self-Intersections (SIF),,8278,257924
csrp,a,204016,gm,lh,8,40,Macro Dice,,0.8786715459470583,
csrp,a,201515,wm,lh,8,100,Chamfer Distance,,0.7802284889286814,
csrp,a,201515,wm,lh,8,100,Hausdorff Distance,,9.840548530363048,
csrp,a,201515,wm,lh,8,100,Self-Intersections (SIF),,48,268656
csrp,a,201515,wm,lh,8,100,Macro Dice,,0.8978641085158553,
csrp,a,202719,gm,lh,8,40,Chamfer Distance,,0.8996760080051818,
csrp,a,202719,gm,lh,8,40,Hausdorff Distance,,4.025126426460617,
csrp,a,202719,gm,lh,8,40,Self-Intersections (SIF),,9480,260952
csrp,a,202719,gm,lh,8,40,Macro Dice,,0.8791185220001303,
csrp,a,203923,gm,lh,8,40,Chamfer Distance,,0.9075507682899291,
csrp,a,203923,gm,lh,8,40,Hausdorff Distance,,4.248178209289358,
csrp,a,203923,gm,lh,8,40,Self-Intersections (SIF),,15511,266636
csrp,a,203923,gm,lh,8,40,Macro Dice,,0.8658049599917469,
csrp,a,204319,gm,lh,8,40,Chamfer Distance,,0.8916931960347987,
csrp,a,204319,gm,lh,8,40,Hausdorff Distance,,5.098506152332739,
csrp,a,204319,gm,lh,8,40,Self-Intersections (SIF),,6685,276852
csrp,a,204319,gm,lh,8,40,Macro Dice,,0.8744176834017994,
csrp,a,200614,gm,rh,8,40,Chamfer Distance,,0.9458239003866328,
csrp,a,200614,gm,rh,8,40,Hausdorff Distance,,6.582448197218884,
csrp,a,200614,gm,rh,8,40,Self-Intersections (SIF),,12446,249720
csrp,a,200614,gm,rh,8,40,Macro Dice,,0.8645480649579849,
csrp,a,200311,gm,rh,8,40,Chamfer Distance,,0.9601808306095644,
csrp,a,200311,gm,rh,8,40,Hausdorff Distance,,6.638983619954563,
csrp,a,200311,gm,rh,8,40,Self-Intersections (SIF),,7992,253256
csrp,a,200311,gm,rh,8,40,Macro Dice,,0.8831691059415627,
csrp,a,201818,wm,lh,8,100,Chamfer Distance,,0.7480370464946628,
csrp,a,201818,wm,lh,8,100,Hausdorff Distance,,4.946363424881025,
csrp,a,201818,wm,lh,8,100,Self-Intersections (SIF),,0,222536
csrp,a,201818,wm,lh,8,100,Macro Dice,,0.9159240393275123,
csrp,a,204420,wm,lh,8,100,Chamfer Distance,,0.7461780766559472,
csrp,a,204420,wm,lh,8,100,Hausdorff Distance,,4.005072988941657,
csrp,a,204420,wm,lh,8,100,Self-Intersections (SIF),,98,211768
csrp,a,204420,wm,lh,8,100,Macro Dice,,0.8971533106935564,
csrp,a,200917,gm,rh,8,40,Chamfer Distance,,0.9103233911010795,
csrp,a,200917,gm,rh,8,40,Hausdorff Distance,,8.281800673831485,
csrp,a,200917,gm,rh,8,40,Self-Intersections (SIF),,9021,258260
csrp,a,200917,gm,rh,8,40,Macro Dice,,0.8543954968529668,
csrp,a,204521,wm,lh,8,100,Chamfer Distance,,0.7638571199315609,
csrp,a,204521,wm,lh,8,100,Hausdorff Distance,,4.009054502676705,
csrp,a,204521,wm,lh,8,100,Self-Intersections (SIF),,108,216952
csrp,a,204521,wm,lh,8,100,Macro Dice,,0.931085117051993,
csrp,a,201717,wm,lh,8,100,Chamfer Distance,,0.7572179466987321,
csrp,a,201717,wm,lh,8,100,Hausdorff Distance,,5.737953003817164,
csrp,a,201717,wm,lh,8,100,Self-Intersections (SIF),,80,277072
csrp,a,201717,wm,lh,8,100,Macro Dice,,0.9112014296944336,
csrp,a,202113,wm,lh,8,100,Chamfer Distance,,0.7668894935410602,
csrp,a,202113,wm,lh,8,100,Hausdorff Distance,,3.8568746571142705,
csrp,a,202113,wm,lh,8,100,Self-Intersections (SIF),,0,264968
csrp,a,202113,wm,lh,8,100,Macro Dice,,0.9293050552170724,
csrp,a,200210,gm,rh,8,40,Chamfer Distance,,0.9435311773259258,
csrp,a,200210,gm,rh,8,40,Hausdorff Distance,,6.5447475569130775,
csrp,a,200210,gm,rh,8,40,Self-Intersections (SIF),,12699,307584
csrp,a,200210,gm,rh,8,40,Macro Dice,,0.8722172603731758,
csrp,a,201414,gm,rh,8,40,Chamfer Distance,,0.9563895633462963,
csrp,a,201414,gm,rh,8,40,Hausdorff Distance,,5.3992291212883465,
csrp,a,201414,gm,rh,8,40,Self-Intersections (SIF),,6792,236720
csrp,a,201414,gm,rh,8,40,Macro Dice,,0.891261560483432,
csrp,a,200008,wm,rh,8,100,Chamfer Distance,,0.7402566335660086,
csrp,a,200008,wm,rh,8,100,Hausdorff Distance,,3.003602154706802,
csrp,a,200008,wm,rh,8,100,Self-Intersections (SIF),,45,234400
csrp,a,200008,wm,rh,8,100,Macro Dice,,0.9284077909524785,
csrp,a,203721,wm,lh,8,100,Chamfer Distance,,0.7569193405445213,
csrp,a,203721,wm,lh,8,100,Hausdorff Distance,,3.029244336850723,
csrp,a,203721,wm,lh,8,100,Self-Intersections (SIF),,0,223172
csrp,a,203721,wm,lh,8,100,Macro Dice,,0.9083868321323174,
csrp,a,203418,wm,lh,8,100,Chamfer Distance,,0.735881791856106,
