Framework,Case,Subject ID,surf_type,Hemisphere,GNNLayers,Epoch,Metric,Label,Score,Total Triangles
csrp,separate,245333,gm,lh,4,100,Chamfer Distance,,5.247799423158112,
csrp,separate,245333,gm,lh,4,100,Hausdorff Distance,,7.824188564538059,
csrp,separate,245333,gm,lh,4,100,Self-Intersections (SIF),,8978,228144
csrp,separate,250427,gm,lh,4,100,Chamfer Distance,,5.393199497181687,
csrp,separate,250427,gm,lh,4,100,Hausdorff Distance,,6.683496468365343,
csrp,separate,250427,gm,lh,4,100,Self-Intersections (SIF),,7126,228812
csrp,separate,221218,gm,lh,4,100,Chamfer Distance,,5.016667480181743,
csrp,separate,221218,gm,lh,4,100,Hausdorff Distance,,5.609550279251248,
csrp,separate,221218,gm,lh,4,100,Self-Intersections (SIF),,8547,228396
csrp,separate,201818,gm,lh,4,100,Chamfer Distance,,5.3773507992405225,
csrp,separate,201818,gm,lh,4,100,Hausdorff Distance,,7.01001772277809,
csrp,separate,201818,gm,lh,4,100,Self-Intersections (SIF),,8985,222516
csrp,separate,250932,gm,lh,4,100,Chamfer Distance,,5.33809668390019,
csrp,separate,250932,gm,lh,4,100,Hausdorff Distance,,8.080463272361156,
csrp,separate,250932,gm,lh,4,100,Self-Intersections (SIF),,6796,229480
csrp,separate,231928,gm,lh,4,100,Chamfer Distance,,5.0107322234988505,
csrp,separate,231928,gm,lh,4,100,Hausdorff Distance,,6.5488426900189305,
csrp,separate,231928,gm,lh,4,100,Self-Intersections (SIF),,5033,233008
csrp,separate,203721,gm,lh,4,100,Chamfer Distance,,5.54098244080699,
csrp,separate,203721,gm,lh,4,100,Hausdorff Distance,,7.697967654003088,
csrp,separate,203721,gm,lh,4,100,Self-Intersections (SIF),,9894,223184
csrp,separate,256540,gm,lh,4,100,Chamfer Distance,,5.092381104714921,
csrp,separate,256540,gm,lh,4,100,Hausdorff Distance,,6.7238029708365445,
csrp,separate,256540,gm,lh,4,100,Self-Intersections (SIF),,6835,232684
csrp,separate,237334,gm,lh,4,100,Chamfer Distance,,5.1564301109171184,
csrp,separate,237334,gm,lh,4,100,Hausdorff Distance,,7.81166367896608,
csrp,separate,237334,gm,lh,4,100,Self-Intersections (SIF),,6029,231968
csrp,separate,205220,gm,lh,4,100,Chamfer Distance,,5.269343141273364,
csrp,separate,205220,gm,lh,4,100,Hausdorff Distance,,6.806721017599233,
csrp,separate,205220,gm,lh,4,100,Self-Intersections (SIF),,8239,230048
csrp,separate,249947,gm,lh,4,100,Chamfer Distance,,5.144566351327892,
csrp,separate,249947,gm,lh,4,100,Hausdorff Distance,,6.692973114498478,
csrp,separate,249947,gm,lh,4,100,Self-Intersections (SIF),,10512,236716
csrp,separate,284646,gm,lh,4,100,Chamfer Distance,,5.165134272164744,
csrp,separate,284646,gm,lh,4,100,Hausdorff Distance,,6.95504443986855,
csrp,separate,284646,gm,lh,4,100,Self-Intersections (SIF),,8383,248228
csrp,separate,200210,gm,lh,4,100,Chamfer Distance,,5.646294159233473,
csrp,separate,200210,gm,lh,4,100,Hausdorff Distance,,8.036328588909548,
csrp,separate,200210,gm,lh,4,100,Self-Intersections (SIF),,10584,303732
csrp,separate,280941,gm,lh,4,100,Chamfer Distance,,5.044013179356119,
csrp,separate,280941,gm,lh,4,100,Hausdorff Distance,,7.526135630195476,
csrp,separate,280941,gm,lh,4,100,Self-Intersections (SIF),,5553,252380
csrp,separate,208226,gm,lh,4,100,Chamfer Distance,,5.170212920490658,
csrp,separate,208226,gm,lh,4,100,Hausdorff Distance,,6.36133997969078,
csrp,separate,208226,gm,lh,4,100,Self-Intersections (SIF),,4433,237356
csrp,separate,298455,gm,lh,4,100,Chamfer Distance,,5.061840950469609,
csrp,separate,298455,gm,lh,4,100,Hausdorff Distance,,7.39589348483783,
csrp,separate,298455,gm,lh,4,100,Self-Intersections (SIF),,3431,257024
csrp,separate,203418,gm,lh,4,100,Chamfer Distance,,5.31580129393517,
csrp,separate,203418,gm,lh,4,100,Hausdorff Distance,,6.630328650170286,
csrp,separate,203418,gm,lh,4,100,Self-Intersections (SIF),,6798,241020
csrp,separate,236130,gm,lh,4,100,Chamfer Distance,,5.396184079334962,
csrp,separate,236130,gm,lh,4,100,Hausdorff Distance,,6.740903089019569,
csrp,separate,236130,gm,lh,4,100,Self-Intersections (SIF),,9609,248980
csrp,separate,207426,gm,lh,4,100,Chamfer Distance,,5.3420579839512605,
csrp,separate,207426,gm,lh,4,100,Hausdorff Distance,,7.1843894683403065,
csrp,separate,207426,gm,lh,4,100,Self-Intersections (SIF),,6149,241944
csrp,separate,283543,gm,lh,4,100,Chamfer Distance,,5.446526826200568,
csrp,separate,283543,gm,lh,4,100,Hausdorff Distance,,6.855538824296744,
csrp,separate,283543,gm,lh,4,100,Self-Intersections (SIF),,9223,263124
csrp,separate,227432,gm,lh,4,100,Chamfer Distance,,5.198701833657419,
csrp,separate,227432,gm,lh,4,100,Hausdorff Distance,,7.523130541281708,
csrp,separate,227432,gm,lh,4,100,Self-Intersections (SIF),,3978,251280
csrp,separate,287248,gm,lh,4,100,Chamfer Distance,,5.3069638917851725,
csrp,separate,287248,gm,lh,4,100,Hausdorff Distance,,7.215087633499416,
csrp,separate,287248,gm,lh,4,100,Self-Intersections (SIF),,10066,263312
csrp,separate,239944,gm,lh,4,100,Chamfer Distance,,5.125060268534452,
csrp,separate,239944,gm,lh,4,100,Hausdorff Distance,,8.268666797770882,
csrp,separate,239944,gm,lh,4,100,Self-Intersections (SIF),,8459,256180
csrp,separate,268850,gm,lh,4,100,Chamfer Distance,,5.282733776871057,
csrp,separate,268850,gm,lh,4,100,Hausdorff Distance,,8.736816862981863,
csrp,separate,268850,gm,lh,4,100,Self-Intersections (SIF),,6483,251496
csrp,separate,248339,gm,lh,4,100,Chamfer Distance,,5.199117311783452,
csrp,separate,248339,gm,lh,4,100,Hausdorff Distance,,7.7540363516499715,
csrp,separate,248339,gm,lh,4,100,Self-Intersections (SIF),,5893,255716
csrp,separate,290136,gm,lh,4,100,Chamfer Distance,,5.062183652865761,
csrp,separate,290136,gm,lh,4,100,Hausdorff Distance,,6.866317248733086,
csrp,separate,290136,gm,lh,4,100,Self-Intersections (SIF),,9167,269124
csrp,separate,257542,gm,lh,4,100,Chamfer Distance,,5.385289853230928,
csrp,separate,257542,gm,lh,4,100,Hausdorff Distance,,7.669752361010144,
csrp,separate,257542,gm,lh,4,100,Self-Intersections (SIF),,13107,256292
csrp,separate,263436,gm,lh,4,100,Chamfer Distance,,4.942560820883397,
csrp,separate,263436,gm,lh,4,100,Hausdorff Distance,,6.641378934677537,
csrp,separate,263436,gm,lh,4,100,Self-Intersections (SIF),,6942,259936
csrp,separate,208125,gm,lh,4,100,Chamfer Distance,,5.038873193054982,
csrp,separate,208125,gm,lh,4,100,Hausdorff Distance,,6.966901900624345,
csrp,separate,208125,gm,lh,4,100,Self-Intersections (SIF),,5215,253816
csrp,separate,285446,gm,lh,4,100,Chamfer Distance,,5.1713776141331325,
csrp,separate,285446,gm,lh,4,100,Hausdorff Distance,,6.946543778051243,
csrp,separate,285446,gm,lh,4,100,Self-Intersections (SIF),,7899,270100
csrp,separate,257845,gm,lh,4,100,Chamfer Distance,,5.095268828231591,
csrp,separate,257845,gm,lh,4,100,Hausdorff Distance,,7.338528148740097,
csrp,separate,257845,gm,lh,4,100,Self-Intersections (SIF),,5727,263160
csrp,separate,286650,gm,lh,4,100,Chamfer Distance,,5.428792081200581,
csrp,separate,286650,gm,lh,4,100,Hausdorff Distance,,7.331327291984706,
csrp,separate,286650,gm,lh,4,100,Self-Intersections (SIF),,5166,273692
csrp,separate,299154,gm,lh,4,100,Chamfer Distance,,5.386376667165283,
csrp,separate,299154,gm,lh,4,100,Hausdorff Distance,,7.688936748099331,
csrp,separate,299154,gm,lh,4,100,Self-Intersections (SIF),,9840,277280
csrp,separate,298051,gm,lh,4,100,Chamfer Distance,,4.9708202842476235,
csrp,separate,298051,gm,lh,4,100,Hausdorff Distance,,6.860960253500279,
csrp,separate,298051,gm,lh,4,100,Self-Intersections (SIF),,5384,278796
csrp,separate,204016,gm,lh,4,100,Chamfer Distance,,5.185606971882555,
csrp,separate,204016,gm,lh,4,100,Hausdorff Distance,,6.361220797631839,
csrp,separate,204016,gm,lh,4,100,Self-Intersections (SIF),,6465,257928
csrp,separate,202719,gm,lh,4,100,Chamfer Distance,,5.158889187756394,
csrp,separate,202719,gm,lh,4,100,Hausdorff Distance,,6.569706694828965,
csrp,separate,202719,gm,lh,4,100,Self-Intersections (SIF),,8014,260908
