Framework,Case,Subject ID,surf_type,Hemisphere,GNNLayers,Epoch,Metric,Label,Score,Total Triangles
cortexode,,200210,gm,lh,0,90,Hausdorff Distance,,8.380270509671918,
cortexode,,200210,gm,lh,0,90,Self-Intersections (SIF),,809,303732
cortexode,,250932,gm,lh,0,90,Chamfer Distance,,5.366542169426685,
cortexode,,250932,gm,lh,0,90,Hausdorff Distance,,7.205531581172153,
cortexode,,250932,gm,lh,0,90,Self-Intersections (SIF),,951,229480
cortexode,,246133,gm,lh,0,90,Chamfer Distance,,5.056439660031976,
cortexode,,246133,gm,lh,0,90,Hausdorff Distance,,6.0748069324568466,
cortexode,,246133,gm,lh,0,90,Self-Intersections (SIF),,459,228040
cortexode,,221218,gm,lh,0,90,Chamfer Distance,,5.058490203599414,
cortexode,,221218,gm,lh,0,90,Hausdorff Distance,,5.696689892222039,
cortexode,,221218,gm,lh,0,90,Self-Intersections (SIF),,1171,228396
cortexode,,231928,gm,lh,0,90,Chamfer Distance,,5.039721761959681,
cortexode,,231928,gm,lh,0,90,Hausdorff Distance,,6.472871227401354,
cortexode,,231928,gm,lh,0,90,Self-Intersections (SIF),,784,233008
cortexode,,208226,gm,lh,0,90,Chamfer Distance,,5.202076591763591,
cortexode,,208226,gm,lh,0,90,Hausdorff Distance,,6.533365351845923,
cortexode,,208226,gm,lh,0,90,Self-Intersections (SIF),,509,237356
cortexode,,256540,gm,lh,0,90,Chamfer Distance,,5.104269156078898,
cortexode,,256540,gm,lh,0,90,Hausdorff Distance,,6.561405355903146,
cortexode,,256540,gm,lh,0,90,Self-Intersections (SIF),,716,232684
cortexode,,249947,gm,lh,0,90,Chamfer Distance,,5.168247138525057,
cortexode,,249947,gm,lh,0,90,Hausdorff Distance,,6.473164868223614,
cortexode,,249947,gm,lh,0,90,Self-Intersections (SIF),,1354,236716
cortexode,,237334,gm,lh,0,90,Chamfer Distance,,5.155361400598194,
cortexode,,237334,gm,lh,0,90,Hausdorff Distance,,7.782331403379147,
cortexode,,237334,gm,lh,0,90,Self-Intersections (SIF),,312,231968
cortexode,,203418,gm,lh,0,90,Chamfer Distance,,5.330601416131703,
cortexode,,203418,gm,lh,0,90,Hausdorff Distance,,6.538728226322957,
cortexode,,203418,gm,lh,0,90,Self-Intersections (SIF),,682,241020
cortexode,,284646,gm,lh,0,90,Chamfer Distance,,5.182946381651622,
cortexode,,284646,gm,lh,0,90,Hausdorff Distance,,7.11305310100422,
cortexode,,284646,gm,lh,0,90,Self-Intersections (SIF),,814,248228
cortexode,,207426,gm,lh,0,90,Chamfer Distance,,5.358928092085028,
cortexode,,207426,gm,lh,0,90,Hausdorff Distance,,6.8070299270538985,
cortexode,,207426,gm,lh,0,90,Self-Intersections (SIF),,448,241944
cortexode,,280941,gm,lh,0,90,Chamfer Distance,,5.0708207699519585,
cortexode,,280941,gm,lh,0,90,Hausdorff Distance,,6.940078892232965,
cortexode,,280941,gm,lh,0,90,Self-Intersections (SIF),,600,252380
cortexode,,298455,gm,lh,0,90,Chamfer Distance,,5.053336210152539,
cortexode,,298455,gm,lh,0,90,Hausdorff Distance,,7.377968813055682,
cortexode,,298455,gm,lh,0,90,Self-Intersections (SIF),,216,257024
cortexode,,236130,gm,lh,0,90,Chamfer Distance,,5.427120730647349,
cortexode,,236130,gm,lh,0,90,Hausdorff Distance,,6.726507660810434,
cortexode,,236130,gm,lh,0,90,Self-Intersections (SIF),,1133,248980
cortexode,,208125,gm,lh,0,90,Chamfer Distance,,5.044633454474412,
cortexode,,208125,gm,lh,0,90,Hausdorff Distance,,6.121300598026484,
cortexode,,208125,gm,lh,0,90,Self-Intersections (SIF),,435,253816
cortexode,,287248,gm,lh,0,90,Chamfer Distance,,5.347634481209932,
cortexode,,287248,gm,lh,0,90,Hausdorff Distance,,7.167670469979554,
cortexode,,287248,gm,lh,0,90,Self-Intersections (SIF),,1438,263312
cortexode,,227432,gm,lh,0,90,Chamfer Distance,,5.226176692285639,
cortexode,,227432,gm,lh,0,90,Hausdorff Distance,,7.851867953046976,
cortexode,,227432,gm,lh,0,90,Self-Intersections (SIF),,817,251280
cortexode,,283543,gm,lh,0,90,Chamfer Distance,,5.459249619263542,
cortexode,,283543,gm,lh,0,90,Hausdorff Distance,,6.550542551196445,
cortexode,,283543,gm,lh,0,90,Self-Intersections (SIF),,596,263124
cortexode,,204016,gm,lh,0,90,Chamfer Distance,,5.183427292466684,
cortexode,,204016,gm,lh,0,90,Hausdorff Distance,,6.339680370756135,
cortexode,,204016,gm,lh,0,90,Self-Intersections (SIF),,440,257928
cortexode,,239944,gm,lh,0,90,Chamfer Distance,,5.142099622485195,
cortexode,,239944,gm,lh,0,90,Hausdorff Distance,,7.456435606778779,
cortexode,,239944,gm,lh,0,90,Self-Intersections (SIF),,1218,256180
cortexode,,248339,gm,lh,0,90,Chamfer Distance,,5.1797518513235765,
cortexode,,248339,gm,lh,0,90,Hausdorff Distance,,7.009020556627482,
cortexode,,248339,gm,lh,0,90,Self-Intersections (SIF),,376,255716
cortexode,,268850,gm,lh,0,90,Chamfer Distance,,5.327221489327854,
cortexode,,268850,gm,lh,0,90,Hausdorff Distance,,8.40141077107162,
