Framework,Condition,Subject ID,surf_type,Hemisphere,GNNLayers,Epoch,Metric,Label,Score,Total Triangles
cortexode,c,203721,wm,lh,0,90,Chamfer Distance,,0.7684430453526802,
cortexode,c,203721,wm,lh,0,90,Hausdorff Distance,,2.7002932449117485,
cortexode,c,203721,wm,lh,0,90,Self-Intersections (SIF),,2,223184
cortexode,c,200008,wm,lh,0,90,Chamfer Distance,,0.7631703977057285,
cortexode,c,200008,wm,lh,0,90,Hausdorff Distance,,6.360083818404169,
cortexode,c,200008,wm,lh,0,90,Self-Intersections (SIF),,0,232688
cortexode,c,201414,wm,lh,0,90,Chamfer Distance,,0.7946197579174344,
cortexode,c,201414,wm,lh,0,90,Hausdorff Distance,,6.3572465291239775,
cortexode,c,201414,wm,lh,0,90,Self-Intersections (SIF),,0,232732
cortexode,c,203418,wm,lh,0,90,Chamfer Distance,,0.7470744706609789,
cortexode,c,203418,wm,lh,0,90,Hausdorff Distance,,3.9322873981447986,
cortexode,c,203418,wm,lh,0,90,Self-Intersections (SIF),,2,241020
cortexode,c,200614,wm,lh,0,90,Chamfer Distance,,0.7719566928947237,
cortexode,c,200614,wm,lh,0,90,Hausdorff Distance,,5.243681355155653,
cortexode,c,200614,wm,lh,0,90,Self-Intersections (SIF),,0,247072
cortexode,c,200311,wm,lh,0,90,Chamfer Distance,,0.7840277761649574,
cortexode,c,200311,wm,lh,0,90,Hausdorff Distance,,5.542816577030614,
cortexode,c,200311,wm,lh,0,90,Self-Intersections (SIF),,0,249956
cortexode,c,200917,wm,lh,0,90,Chamfer Distance,,0.8143669601826911,
cortexode,c,200917,wm,lh,0,90,Hausdorff Distance,,7.896369311628219,
cortexode,c,200917,wm,lh,0,90,Self-Intersections (SIF),,0,251936
cortexode,c,200109,wm,lh,0,90,Chamfer Distance,,0.7664496117641633,
cortexode,c,200109,wm,lh,0,90,Hausdorff Distance,,4.777075602868886,
cortexode,c,200109,wm,lh,0,90,Self-Intersections (SIF),,0,254284
cortexode,c,204016,wm,lh,0,90,Chamfer Distance,,0.7436222879558742,
cortexode,c,204016,wm,lh,0,90,Hausdorff Distance,,3.8954899035032557,
cortexode,c,204016,wm,lh,0,90,Self-Intersections (SIF),,0,257928
cortexode,c,201111,wm,lh,0,90,Chamfer Distance,,0.7683643734062635,
cortexode,c,201111,wm,lh,0,90,Hausdorff Distance,,5.1983277548232625,
cortexode,c,201111,wm,lh,0,90,Self-Intersections (SIF),,0,260424
cortexode,c,202719,wm,lh,0,90,Chamfer Distance,,0.7427141476335226,
cortexode,c,202719,wm,lh,0,90,Hausdorff Distance,,3.076359362807847,
cortexode,c,202719,wm,lh,0,90,Self-Intersections (SIF),,0,260908
